ly (Block),,func_216_a,dropBlockAsItemWithChance,Drops the block items with a specified chance of dropping the specified items,,,,,,,,,,,
BlockPressurePlate,,func_217_b,isOpaqueCube,"Is this block (a) opaque and (b) a full 1m cube?  This determines whether or not to render the shared face of two adjacent blocks and also whether the player can attach torches, redstone wire, etc to this block.",,,,,,,,,,,
ly (Block),,func_218_a,getBlockTextureFromSide,Returns the block texture based on the side being looked at.  Args: side,,,,,,,,,,,
ly (Block),,func_219_a,setHardness,Sets the amount of damage required to break a block of this type. Returns the object for convenience in constructing.,,,,,,,,,,,
Block,,func_219_b,setResistance,Sets the the blocks resistance to explosions. Returns the object for convenience in constructing.,,DUPLICATE,,,,,,,,,
BlockSnow,,func_220_a_,harvestBlock,Called when the player destroys a block with an item that can harvest it,,,,,,,,,,,
ly (Block),,func_221_d,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused),,,,,,,,,,,
Block,,func_222_c,setHardness,Sets how many hits it takes to break a block.,,DUPLICATE,,,,,,,,,
ly (Block),,func_223_g,canBlockStay,Can this block stay at this position.  Similar to canPlaceBlockAt except gets checked often with plants.,,,,,,,,,,,
ly (Block),,func_224_a,canCollideCheck,"Returns whether this block is collideable based on the arguments passed in Args: blockMetaData, unknownFlag",,,,,,,,,,,
ly (Block),,func_226_a,onNeighborBlockChange,"Lets the block know when one of its neighbor changes. Doesn't know which neighbor changed (coordinates passed are their own) Args: x, y, z, blockID",,,,,,,,,,,
ly (Block),,func_228_c,isIndirectlyPoweringTo,Is this block indirectly powering the block on the specified side,,,,,,,,,,,
ly (Block),,func_229_a,quantityDropped,Returns the quantity of items to drop on block destruction.,,,,,,,,,,,
ly (Block),,func_230_a,getCollidingBoundingBoxes,"Adds to the supplied array any colliding bounding boxes with the passed in bounding box. Args: world, x, y, z, axisAlignedBB, arrayList",,,,,,,,,,,
ly (Block),,func_231_b,isPoweringTo,Is this block powering the block on the specified side,,,,,,,,,,,
ly (Block),,func_232_a,getBlockTextureFromSideAndMetadata,"From the specified side and block metadata retrieves the blocks texture. Args: side, metadata",,,,,,,,,,,
ly (Block),,func_233_b,onBlockClicked,"Called when the block is clicked by a player. Args: x, y, z, entityPlayer",,,,,,,,,,,
ly (Block),,func_235_e,onBlockAdded,"Called whenever the block is added into the world. Args: world, x, y, z",,,,,,,,,,,
ly (Block),,func_236_b,onEntityCollidedWithBlock,"Triggered whenever an entity collides with this block (enters into the block). Args: world, x, y, z, entity",,,,,,,,,,,
ly (Block),,func_238_a,setBlockBoundsBasedOnState,"Updates the blocks bounds based on its current state. Args: world, x, y, z",,,,,,,,,,,
ly (Block),,func_240_a,idDropped,Returns the ID of the items to drop on destruction.,,,,,,,,,,,
ly (Block),,func_241_c,getBlockBrightness,"How bright to render this block based on the light its receiving. Args: iBlockAccess, x, y, z",,,,,,,,,,,
ly (Block),,func_242_c,renderAsNormalBlock,"If this block doesn't render as an ordinary block it will return False (examples: signs, buttons, stairs, etc)",,,,,,,,,,,
ly (Block),,func_243_a,canPlaceBlockAt,"Checks to see if its valid to put this block at the specified coordinates. Args: world, x, y, z",,,,,,,,,,,
ly (Block),,func_244_a,isVecInsideYZBounds,Checks if a vector is within the Y and Z bounds of the block. ,,,,,,,,,,,
ly (Block),,func_245_h,isCollidable,"Returns if this block is collidable (only used by Fire). Args: x, y, z",,,,,,,,,,,
ly (Block),,func_246_f,getSelectedBoundingBoxFromPool,Returns the bounding box of the wired rectangular prism to render.,,,,,,,,,,,
ly (Block),,func_247_b,randomDisplayTick,A randomly called display update to be able to add particles or other items for display,,,,,,,,,,,
ly (Block),,func_249_b,isVecInsideXZBounds,Checks if a vector is within the X and Z bounds of the block. ,,,,,,,,,,,
ly (Block),,func_250_a,blockActivated,"Called upon block activation (left or right click on the block.). The three integers represent x,y,z of the block.",,,,,,,,,,,
ly (Block),,func_251_c,isVecInsideXYBounds,Checks if a vector is within the X and Y bounds of the block. ,,,,,,,,,,,
ly (Block),,func_252_b,onBlockDestroyedByPlayer,"Called right before the block is destroyed by a player.  Args: world, x, y, z, metaData",,,,,,,,,,,
ly (Block),,func_253_b,setTickOnLoad,Sets whether this block type will tick on loading the block or not,,,,,,,,,,,
ly (Block),,func_254_a,onEntityWalking,"Called whenever an entity is walking on top of this block. Args: world, x, y, z, entity",,,,,,,,,,,
ly (Block),,func_255_a,collisionRayTrace,"Ray traces through the blocks collision from start vector to end vector returning a ray trace hit. Args: world, x, y, z, startVec, endVec",,,,,,,,,,,
ly (Block),,func_256_d,setLightOpacity,Sets how much light is blocked going through this block. Returns the object for convenience in constructing.,,,,,,,,,,,
ly (Block),,func_257_a,velocityToAddToEntity,"Can add to the passed in vector for a movement vector to be applied to the entity. Args: x, y, z, entity, vec3d",,,,,,,,,,,
ly (Block),,func_258_d,onBlockPlaced,"Called when a block is placed using an item. Used often for taking the facing and figuring out how to position the item. Args: x, y, z, facing",,,,,,,,,,,
ly (Block),,func_259_b_,dropBlockAsItem,Drops the specified block items,,,,,,,,,,,
BlockPortal,,func_260_c,shouldSideBeRendered,"Returns true if the given side of this block type should be rendered, if the adjacent block is at the given coordinates.  Args: blockAccess, x, y, z, side",,,,,,,,,,,
og (BlockFire),,func_261_b,canBlockCatchFire,"Checks the specified block coordinate to see if it can catch fire.  Args: blockAccess, x, y, z",,,,,,,,,,,
og (BlockFire),,func_262_i,getChanceOfNeighborsEncouragingFire,Gets the highest chance of a neighbor block encouraging this block to catch fire,,,,,,,,,,,
og (BlockFire),,func_264_a,setBurnRate,"Sets the burn rate for a block. The larger abilityToCatchFire the more easily it will catch on fire Args: blockID, unknown1, abilityToCatchFire",,,,,,,,,,,
og (BlockFire),,func_265_g,getChanceToEncourageFire,"Retrieves a specified block's chance to encourage their neighbors to burn and if the number is greater than the current number passed in it will return its number instead of the passed in one.  Args: world, x, y, z, curChanceToEncourageFire",,,,,,,,,,,
og (BlockFire),,func_266_a,tryToCatchBlockOnFire,"Rolls a random number to see if the block coordinates specified will catch fire. Will catch fire if random.nextInt(fireRange)<abilityToCatchFire Args: world, x, y, z, fireRange, random",,,,,,,,,,,
BlockLever,,func_267_h,checkIfAttachedToBlock,Checks if the block is attached to another block. If it is not,it returns false and drops the block as an item. If it is it returns true.,DUPLICATE,,,,,,,,,
mq (BlockFlower),,func_269_b,canThisPlantGrowOnThisBlockID,Gets passed in the blockID of the block below and supposed to return true if its allowed to grow on the type of blockID passed in. Args: blockID,,,,,,,,,,,
BlockCrops,,func_270_i,getGrowthRate,"Gets the growth rate for the crop. Setup to encourage rows by halving growth rate if there is diagonals, crops on different sides that aren't opposing, and by adding growth for every crop next to this one (and for crop below this one). Args: x, y, z",,,,,,,,,,,
BlockRedstoneTorch,,func_273_a,checkForBurnout,*,,DUPLICATE,,,,,,,,,
BlockRedstoneWire,,func_279_b,isPowerProviderOrWire,Calls canProvidePower() on the specified block and returns the result,but bypasses the wiresProvidePower flag,DUPLICATE,,,,,,,,,
BlockRedstoneWire,,func_280_h,updateAndPropagateCurrentStrength,Sets the strength of the wire current (0-15) for this block based on neighboring blocks and propagates to neighboring redstone wires,,DUPLICATE,,,,,,,,,
BlockRedstoneWire,,func_281_g,getMaxCurrentStrength,Returns the current strength at the specified block if it is greater than the passed value,or the passed value otherwise.  Signature: (world,DUPLICATE,,,,,,,,,
BlockRedstoneWire,,func_282_i,notifyWireNeighborsOfNeighborChange,Calls World.notifyBlocksOfNeighborChange() for all neighboring blocks,but only if the given block is a redstone wire.,DUPLICATE,,,,,,,,,
BlockMobSpawner,,func_283_a_,SetBlockEntity,Returns the tileentity used by the block,,DUPLICATE,,,,,,,,,
BlockFurnace,,func_285_a,updateFurnaceBlockState,Update which block ID the furnace is using depending on whether or not it is burning,,DUPLICATE,,,,,,,,,
b (BlockChest),,func_286_h,isThereANeighborChest,"Checks the neighbor blocks to see if there is a chest there. Args: world, x, y, z",,,,,,,,,,,
BlockFluids,,func_287_j,checkForHarden,"Forces lava to check to see if it is colliding with water, and then decide what it should harden to.",,,,,,,,,,,
BlockReed,,func_303_h,checkBlockCoordValid,"Checks if current block pos is valid, if not, breaks the block as dropable item. Used for reed and cactus.",,,,,,,,,,,
BlockLeaves,,func_310_a,setGraphicsLevel,"Pass true to draw this block using fancy graphics, or false for fast graphics.",,,,,,,,,,,
dh (BlockSand),,func_315_h,tryToFall,If there is space to fall below will start this block falling,,,,,,,,,,,
dh (BlockSand),,func_316_a_,canFallBelow,Checks to see if the sand can fall into the block below it,,,,,,,,,,,
cv (BlockJukeBox),,func_317_e,ejectRecord,Ejects the current record inside of the jukebox,,,,,,,,,,,
BlockPressurePlate,,func_318_h,setStateIfMobInteractsWithPlate,Checks if there are mobs on the plate. If a mob is on the plate and it is off,it turns it on,DUPLICATE,,,,,,,,,
Packet,,func_321_a,addIdClassMapping,Adds a two way mapping between the packet ID and packet class.,,,,,,,,,,,
Packet22Collect,,func_322_a,writePacketData,Abstract. Writes the raw packet data to the data stream.,,,,,,,,,,,
Packet22Collect,,func_323_a,processPacket,Passes this Packet on to the NetHandler for processing.,,,,,,,,,,,
Packet,,func_324_b,readPacket,"Read a packet, prefixed by its ID, from the data stream.",,,,,,,,,,,
Packet,,func_325_a,getNewPacket,Returns a new instance of the specified Packet class.,,,,,,,,,,,
Packet,,func_326_b,getPacketId,Returns the ID of this packet.,,,,,,,,,,,
Packet22Collect,,func_327_a,readPacketData,Abstract. Reads the raw packet data from the data stream.,,,,,,,,,,,
Packet,,func_328_a,writePacket,"Writes a packet, prefixed by its ID, to the data stream.",,,,,,,,,,,
Packet22Collect,,func_329_a,getPacketSize,Abstract. Return the size of the packet (not counting the header).,,,,,,,,,,,
of (SoundManager),,func_330_b,closeMinecraft,Called when Minecraft is closing down.,,,,,,,,,,,
of (SoundManager),,func_332_a,addSound,Adds an audio file to the sounds SoundPool.,,,,,,,,,,,
SoundManager,,func_335_a,onSoundOptionsChanged,Called when one of the sound level options has changed.,,,,,,,,,,,
SoundManager,,func_339_d,tryToSetLibraryAndCodecs,"Tries to add the paulscode library and the relevant codecs. If it fails, the volumes (sound and music) will be set to zero in the options file.",,,,,,,,,,,
kh (Entity),,func_347_a,setPosition,"Sets the x,y,z of the entity from the given parameters. Also seems to set up a bounding box.",,,,,,,,,,,
kh (Entity),,func_348_f,addVelocity,"Adds to the current velocity of the entity. Args: x, y, z",,,,,,,,,,,
kh (Entity),,func_349_c,moveEntity,"Tries to moves the entity by the passed in displacement. Args: x, y, z",,,,,,,,,,,
kh (Entity),,func_352_a,writeEntityToNBT,(abstract) Protected helper method to write subclass entity data to NBT.,,,,,,,,,,,
kh (Entity),,func_353_a,interact,"Called when a player interacts with a mob. e.g. gets milk from a cow, gets into the saddle on a pig.",,,,,,,,,,,
EntityLiving,,func_354_B,isEntityAlive,Checks whether target entity is alive.,,,,,,,,,,,
kh (Entity),,func_357_b,readEntityFromNBT,(abstract) Protected helper method to read subclass entity data from NBT.,,,,,,,,,,,
Entity,,func_359_G,handleLavaMovement,Whether or not the current entity is in lava,,,,,,,,,,,
kh (Entity),,func_360_d,getDistanceSq,"Gets the squared distance to the position. Args: x, y, z",,,,,,,,,,,
kh (Entity),,func_361_e,getDistance,"Gets the distance to the position. Args: x, y, z",,,,,,,,,,,
kh (Entity),,func_363_d,writeToNBT,Save the entity to NBT (calls an abstract helper method to write extra data),,,,,,,,,,,
EntityPlayer,,func_364_b,addToPlayerScore,"Adds a value to the player score. Currently not actually used and the entity passed in does nothing. Args: entity, scoreToAdd",,,,,,,,,,,
Entity,,func_365_c,setLocationAndAngles,Sets the location and Yaw/Pitch of an entity in the world,,DUPLICATE,,,,,,,,,
kh (Entity),,func_367_b,dropItem,"Drops an item stack at the entity's position. Args: itemID, count",,,,,,,,,,,
kh (Entity),,func_368_e,readFromNBT,Reads the entity from NBT (calls an abstract helper method to read specialized data),,,,,,,,,,,
kh (Entity),,func_370_e_,onUpdate,Called to update the entity's position/logic.,,--,,,,,,,,,
kh (Entity),,func_371_a,setSize,"Sets the width and height of the entity. Args: width, height",,,,,,,,,,,
EntityPlayer,,func_374_q,preparePlayerToSpawn,Keeps moving the entity up so it isn't colliding with blocks and other requirements for this entity to be spawned (only actually used on players though its also on Entity),,DUPLICATE,,,,,,,,,
kh (Entity),,func_376_c,setRotation,Sets the rotation of the entity,,,,,,,,,,,
kh (Entity),,func_378_a,setPositionAndRotation2,"Sets the position and rotation. Only difference from the other one is no bounding on the rotation. Args: posX, posY, posZ, yaw, pitch",,,,,,,,,,,
kh (Entity),,func_379_d,getDistanceToEntity,Returns the distance to the entity. Args: entity,,,,,,,,,,,
kh (Entity),,func_380_f,applyEntityCollision,Applies a velocity to each of the entities pushing them away from each other. Args: entity,,,,,,,,,,,
kh (Entity),,func_382_a,getEntityBrightness,Gets how bright this entity is.,,,,,,,,,,,
EntityBoat,,func_385_d_,canBePushed,Returns true if this entity should push and be pushed by other entities when colliding.,,DUPLICATE,,,,,,,,,
kh (Entity),,func_387_e,getDistanceSqToEntity,Returns the squared distance to the entity. Args: entity,,,,,,,,,,,
Entity,,func_389_H,getEntityString,Returns the string that identifies this Entity's class,,DUPLICATE,,,,,,,,,
kh (Entity),,func_393_a,isInsideOfMaterial,Checks if the current block the entity is within of the specified material type,,,,,,,,,,,
kh (Entity),,func_394_a,dropItemWithOffset,"Drops an item stack with a specified y offset. Args: itemID, count, yOffset",,,,,,,,,,,
kh (Entity),,func_395_F,setEntityDead,Will get destroyed next tick,,,,,,,,,,,
EntityFireball,,func_396_a,canAttackEntity,If the entity can attack the other one.,,,,,,,,,,,
kh (Entity),,func_397_g_,handleWaterMovement,Returns if this entity is in water and will end up adding the waters velocity to the entity,,,,,,,,,,,
kh (Entity),,func_398_a,setWorld,Sets the reference to the World object.,,,,,,,,,,,
kh (Entity),,func_399_b,setPositionAndRotation,"Sets the entity's position and rotation. Args: posX, posY, posZ, yaw, pitch",,,,,,,,,,,
kh (Entity),,func_400_c,fall,Called when the mob is falling. Calculates and applies fall damage.,,,,,,,,,,,
Render,,func_4009_a,setRenderManager,Sets the RenderManager.,,DUPLICATE,,,,,,,,,
EntityFireball,,func_401_c_,canBeCollidedWith,Returns true if other Entities should be prevented from moving through this Entity.,,DUPLICATE,,,,,,,,,
di (Item),,func_4016_e,setFull3D,Sets bFull3D to True and return the object.,,,,,,,,,,,
bs (ItemTool),,func_4017_a,isFull3D,Returns True is the item is renderer in full 3D when hold.,,,,,,,,,,,
di (Item),,func_4018_a,canHarvestBlock,Returns if the item (tool) can harvest results from the block type.,,,,,,,,,,,
bs (ItemTool),,func_4020_a,getDamageVsEntity,Returns the damage against a given entity.,,,,,,,,,,,
bs (ItemTool),,func_4021_a,hitEntity,Current implementations of this method in child classes do not use the entry argument beside ev. They just raise the damage on the stack.,,,,,,,,,,,
di (Item),,func_4022_a,setIconIndex,Sets the icon index for this item. Returns the item.,,,,,,,,,,,
ItemFishingRod,,func_4023_b,shouldRotateAroundWhenRendering,Returns true if this item should be rotated by 180 degrees around the Y axis when being held in an entities hands.,,DUPLICATE,,,,,,,,,
ly (Block),,func_4024_a,setStepSound,Sets the footstep sound for the block. Returns the object for convenience in constructing.,,,,,,,,,,,
ly (Block),,func_4025_d,tickRate,How many world ticks before ticking,,,,,,,,,,,
ly (Block),,func_4026_a,onBlockPlacedBy,"Called when a block is using an item and passed in who placed it. Args: x, y, z, entityLiving",,,,,,,,,,,
ly (Block),,func_4027_c,onBlockDestroyedByExplosion,Called upon the block being destroyed by an explosion,,,,,,,,,,,
(BlockPortal),,func_4032_a_,tryToCreatePortal,"Checks to see if this location is valid to create a portal and will return True if it does. Args: world, x, y, z",,,,,,,,,,,
EntityPlayer,,func_4044_a,damageEntity,Deals damage to the entity. If its a EntityPlayer then will take damage from the armor first and then health second with the reduced value. Args: damageAmount,,,,,,,,,,,
EntitySkeleton,,func_4045_l,getHeldItem,Returns the item that this EntityLiving is holding,if any.,DUPLICATE,,,,,,,,,
EntityPigZombie,,func_4049_h,becomeAngryAt,Causes this PigZombie to become angry at the supplied Entity (which will be a player).,,DUPLICATE,,,,,,,,,
EntityPlayerSP,,func_4052_a,displayGUIEditSign,Displays the GUI for editing a sign. Args: tileEntitySign,,,,,,,,,,,
WorldChunkManager,,func_4060_a,generateTerrain,Generates the shape of the terrain for the chunk though its all stone though the water is frozen if the temperature is low enough,,,,,,,,,,,
WorldChunkManager,,func_4062_a,replaceBlocksForBiome,Replaces the stone that was placed in with blocks that match the biome,,,,,,,,,,,
lu (GuiIngame),,func_4066_a,renderGameOverlay,"Render the ingame overlay with quick icon bar, ...",,,,,,,,,,,
cx (GuiMainMenu),,func_4068_a,drawLogo,Draws the imploding minecraft logo.,,,,,,,,,,,
WorldChunkManager,,func_4070_a,loadBlockGeneratorData,"Returns biomes to use for the blocks and loads the other data like temperature and humidity onto the WorldChunkManager Args: oldBiomeList, x, z, width, depth",,,,,,,,,,,
WorldChunkManagerHell,,func_4071_a,getTemperatures,Returns a list of temperatures to use for the specified blocks.  Args: listToReuse,x,DUPLICATE,,,,,,,,,
cn (World),,func_4078_a,neighborLightPropagationChanged,"Called when a neighboring block's light value has changed and its propagated light might change this blocks value.  Args: enumSkyBlock, x, y, z, propagatedLight",,,,,,,,,,,
EntityTNTPrimed,,func_409_i,explode,*,,,,,,,,,,,
WorldProviderHell,,func_4092_a,getChunkLoader,Returns the chunk loader back for the world provider. Args: fileName,,DUPLICATE,,,,,,,,,
om (WorldProvider),,func_4093_b,generateLightBrightnessTable,Creates the light to brightness table,,,,,,,,,,,
WorldProviderHell,,func_4094_c,getChunkProvider,Returns the chunk provider back for the world provider,,DUPLICATE,,,,,,,,,
WorldProvider,,func_4095_a,registerWorld,associate an existing world with a World provider,and setup its lightbrightness table,DUPLICATE,,,,,,,,,
WorldProviderHell,,func_4098_a,registerWorldChunkManager,creates a new world chunk manager for WorldProvider,,DUPLICATE,,,,,,,,,
WorldProviderHell,,func_4100_a,calculateCelestialAngle,Calculates the angle of sun and moon in the sky relative to a specified time (usually worldTime),,DUPLICATE,,,,,,,,,
WorldProviderHell,,func_4102_a,canCoordinateBeSpawn,Will check if the x,z position specified is alright to be set as the map spawn point,DUPLICATE,,,,,,,,,
SlotCrafting,,func_4103_a,onPickupFromSlot,Called when the player picks up an item from an inventory slot,,DUPLICATE,,,,,,,,,
Slot,,func_4104_e,getSlotStackLimit,Returns the maximum stack size for a given slot (usually the same as getInventoryStackLimit(),but 1 in the case of armor slots),DUPLICATE,,,,,,,,,
an (SlotCrafting),,func_4105_a,isItemValid,Check if the stack is a valid item for this slot. Always true beside for the armor slots.,,,,,,,,,,,
lb (NetHandler),,func_4113_a,handleChat,,,,,,,,,,,,
lb (NetHandler),,func_4115_a,handleLogin,,,,,,,,,,,,
MobSpawnerBase,,func_4118_a,getEntitiesForType,,,,,,,,,,,,
MobSpawnerBase,,func_4119_a,getBiome,,,,,,,,,,,,
MobSpawnerBase,,func_4120_a,generateBiomeLookup,,,,,,,,,,,,
MobSpawnerBase,,func_4121_a,getBiomeFromLookup,,,,,,,,,,,,
MobSpawnerBase,,func_4125_a,setBiomeName,,,,,,,,,,,,
MobSpawnerBase,,func_4126_a,getSkyColorByTemp,"takes temperature, returns color",,,,,,,,,,,
Material,,func_4130_f,setBurning,Set the canBurn bool to True and return the current object.,,,,,,,,,,,
ItemRenderer,,func_4132_a,renderItem,Renders the item stack for being in an entity's hand Args: itemStack,,DUPLICATE,,,,,,,,,
ItemRenderer,,func_4133_a,renderItemInFirstPerson,Renders the active item in the player's hand when in first person mode. Args: partialTickTime,,DUPLICATE,,,,,,,,,
EntityRenderer,,func_4137_h,updateFogColor,calculates fog and calls glClearColor,,,,,,,,,,,
EntityRenderer,,func_4138_g,orientCamera,sets up player's eye (or camera in third person mode),,,,,,,,,,,
EntityRenderer,,func_4139_a,setupCameraTransform,"sets up projection, view effects, camera position/rotation",,,,,,,,,,,
TileEntityRenderer,,func_4144_a,getSpecialRendererForClass,Returns the TileEntitySpecialRenderer used to render this TileEntity class,or null if it has no special renderer,DUPLICATE,,,,,,,,,
cf (AxisAlignedBB),,func_4149_a,clearBoundingBoxPool,Sets the number of bounding boxes in use from the pool to 0 so they will be reused,,,,,,,,,,,
EntityLiving,,func_415_z,spawnExplosionParticle,Spawns an explosion particle around the Entity's location,,,,,,,,,,,
cf (AxisAlignedBB),,func_4150_a,isVecInside,Checks if the specified vector is within bounds of the bounding box. Args: vec3D,,,,,,,,,,,
RenderBlocks,,func_4152_a,renderStandardBlockWithColorMultiplier,"Renders a standard cube block at the given coordinates, with a given color ratio.  Args: block, x, y, z, r, g, b",,,,,,,,,,,
,,func_4153_a,getRandomSpawningPointInChunk,"Given a chunk, find a random position in it.",DUPLICATE,DUPLICATE,,,,,,,,,
,,func_4154_a,performSpawning,The main spawning algorithm,DUPLICATE,DUPLICATE,,,,,,,,,
EntityLiving,,func_416_a,rayTrace,"Performs a ray trace for the distance specified and using the partial tick time. Args: distance, partialTickTime",,,,,,,,,,,
EntityLiving,,func_417_b,updateRotation,"Arguments: current rotation, intended rotation, max increment.",,,,,,,,,,,
EntityCreeper,,func_419_b,onDeath,Called when the mob's health reaches 0.,,,,,,,,,,,
EntityLiving,,func_420_c,canEntityBeSeen,returns true if the entity provided in the argument can be seen. (Raytrace),,,,,,,,,,,
EntityGhast,,func_422_g,getDropItemId,Returns the item ID for the item the mob drops on death.,,,,,,,,,,,
EntityPlayerSP,,func_425_j,onLivingUpdate,"Called frequently so the entity can update its state every tick as required. For example, zombies and skeletons use this to react to sunlight and start to burn.",,,,,,,,,,,
EntityLiving,,func_426_b,faceEntity,changes pitch and yaw so that the entity calling the function is facing the entity provided as an argument,,,,,,,,,,,
EntityLiving,,func_427_e,getPosition,interpolated position vector,,,,,,,,,,,
EntityLiving,,func_429_A,isOnLadder,Check if an entity is on a ladder. Returns a bool.,,,,,,,,,,,
EntityLiving,,func_430_f,getLook,interpolated look vector,,,,,,,,,,,
EntityLiving,,func_431_d,getSwingProgress,Returns where in the swing animation the living entity is (from 0 to 1).  Args: partialTickTime,,DUPLICATE,,,,,,,,,
EntityLiving,,func_432_b,heal,Heal living entity (param: amount of half-hearts),,,,,,,,,,,
EntityAnimals,,func_433_a,getCanSpawnHere,Checks if the entity's current position is a valid location to spawn this entity.,,,,,,,,,,,
EntitySpider,,func_437_a,attackEntity,Basic mob attack. Default to touch of death in EntityCreature. Overridden by each mob to define their attack.,,,,,,,,,,,
EntitySpider,,func_438_i,findPlayerToAttack,Finds the closest player within 16 blocks to attack,or null if this Entity isn't interested in attacking (Animals,DUPLICATE,,,,,,,,,
EntityPlayer,,func_444_a,dropPlayerItemWithRandomChoice,"Drops an itemstack from the player with a flag that is passed in that can be set to true to instead drop it in a random direction from the player instead of where the player is facing. Args: itemStack, dropRandom",,,,,,,,,,,
EntityPlayerSP,,func_445_l,displayWorkbenchGUI,Displays the crafting GUI for a workbench.,,,,,,,,,,,
EntityPlayer,,func_446_a,joinEntityItemWithWorld,Joins the passed in entity item with the world. Args: entityItem,,,,,,,,,,,
EntityPlayer,,func_448_u,destroyCurrentEquippedItem,Destroys the currently equipped item from the player's inventory.,,,,,,,,,,,
EntityPlayer,,func_449_a,dropPlayerItem,Drops an item for a player. Args: itemStack,,,,,,,,,,,
dm (EntityPlayer),,func_450_a,getCurrentPlayerStrVsBlock,Returns how strong the player is against the specified block at this moment,,,,,,,,,,,
EntityPlayerSP,,func_452_a,displayGUIChest,Displays the GUI for interacting with a chest inventory. Args: chestInventory,,,,,,,,,,,
EntityPlayerSP,,func_453_a,displayGUIFurnace,Displays the furnace GUI for the passed in furnace entity. Args: tileEntityFurnace,,,,,,,,,,,
EntityPlayer,,func_454_b,canHarvestBlock,Checks if the player has the ability to harvest a block (checks current inventory item for a tool if necessary),,DUPLICATE,,,,,,,,,
EntityPlayerSP,,func_461_a,sendChatMessage,Sends a chat message from the player. Args: chatMessage,,,,,,,,,,,
EntityPlayer,,func_463_a,attackTargetEntityWithCurrentItem,Attacks for the player the targeted entity with the currently equipped item.  The equipped item has hitEntity called on it. Args: targetEntity,,,,,,,,,,,
eu (InventoryPlayer),,func_468_c,getStackInSlot,Returns the stack in slot i,,,,,,,,,,,
eu (InventoryPlayer),,func_469_c,getSizeInventory,Returns the number of slots in the inventory.,,,,,,,,,,,
eu (InventoryPlayer),,func_470_e,getInventoryStackLimit,"Returns the maximum stack size for a inventory slot. Seems to always be 64, possibly will be extended. *Isn't this more of a set than a get?*",,,,,,,,,,,
eu (InventoryPlayer),,func_471_d,getInvName,Returns the name of the inventory.,,,,,,,,,,,
eu (InventoryPlayer),,func_472_a,setInventorySlotContents,Sets the given item stack to the specified slot in the inventory (can be crafting or armor sections).,,,,,,,,,,,
eu (InventoryPlayer),,func_473_a,decrStackSize,Decrease the size of the stack in slot (first int arg) by the amount of the second int arg. Returns the new stack.,,,,,,,,,,,
InventoryPlayer,,func_474_j_,onInventoryChanged,Called when an the contents of an Inventory change,usually,DUPLICATE,,,,,,,,,
bd (TileEntityMobSpawner),,func_475_b,updateEntity,"Allows the entity to update its state. Overridden in most subclasses, e.g. the mob spawner uses this to count ticks and creates a new spawn inside its implementation.",,,,,,,,,,,
TileEntity,,func_476_a,addMapping,Adds a new two-way mapping between the class and its string name in both hashmaps.,,,,,,,,,,,
TileEntity,,func_477_c,createAndLoadEntity,Creates a new entity and loads its data from the specified NBT.,,,,,,,,,,,
TileEntity,,func_478_g,getBlockType,Gets the block type at the location of this entity (client-only).,,,,,,,,,,,
TileEntity,,func_479_f,getBlockMetadata,Returns block data at the location of this entity (client-only).,,,,,,,,,,,
TileEntity,,func_480_a,getDistanceFrom,Returns the square of the distance between this entity and the passed in coordinates.,,,,,,,,,,,
bd (TileEntityMobSpawner),,func_481_b,writeToNBT,Writes a tile entity to NBT.,,,,,,,,,,,
bd (TileEntityMobSpawner),,func_482_a,readFromNBT,Reads a tile entity from NBT.,,,,,,,,,,,
bd (TileEntityMobSpawner),,func_483_c,updateDelay,Sets the delay before a new spawn (base delay of 200 + random number up to 600).,,,,,,,,,,,
TileEntityMobSpawner,,func_484_a,anyPlayerInRange,Returns true if there is a player in range (using World.getClosestPlayer),,DUPLICATE,,,,,,,,,
TileEntityFurnace,,func_485_a,isBurning,Returns true if the furnace is currently burning,,DUPLICATE,,,,,,,,,
TileEntityFurnace,,func_486_d,getSmeltingResultItem,Returns the item ID of the result of smelting the given item ID,or -1 if the given item can't be smelted.,DUPLICATE,,,,,,,,,
TileEntityFurnace,,func_487_i,smeltItem,Turn one item from the furnace source stack into the appropriate smelted item in the furnace result stack,,DUPLICATE,,,,,,,,,
TileEntityFurnace,,func_488_a,getItemBurnTime,Returns the number of ticks that the supplied fuel item will keep the furnace burning,or 0 if the item isn't fuel,DUPLICATE,,,,,,,,,
TileEntityFurnace,,func_489_b,getBurnTimeRemainingScaled,Returns an integer between 0 and the passed value representing how much burn time is left on the current fuel item,where 0 means that the item is exhausted and the passed value means that the item is fresh,DUPLICATE,,,,,,,,,
TileEntityFurnace,,func_490_a,getCookProgressScaled,Returns an integer between 0 and the passed value representing how close the current item is to being completely cooked,,DUPLICATE,,,,,,,,,
TileEntityFurnace,,func_491_j,canSmelt,Returns true if the furnace can smelt an item,i.e. has a source item,DUPLICATE,,,,,,,,,
InventoryPlayer,,func_492_d,armorItemInSlot,returns a player armor item (as itemstack) contained in specified armor slot.,,DUPLICATE,,,,,,,,,
eu (InventoryPlayer),,func_493_a,writeToNBT,"Writes the inventory out as a list of compound tags. This is where the slot indices are used (+100 for armor, +80 for crafting).",,,,,,,,,,,
eu (InventoryPlayer),,func_494_a,getCurrentItem,Returns the item stack currently held by the player.,,,,,,,,,,,
